USER INPUT,TRUE OUTPUT,prompt
How do I reset my password?,"To reset your password, go to the login page and click 'Forgot Password'. Enter your email and we'll send you a reset link within a few minutes.","[{""role"": ""system"", ""content"": ""You are a helpful customer support agent for a SaaS company. Answer concisely and clearly in 1-2 sentences.""}, {""role"": ""user"", ""content"": ""How do I reset my password?""}]"
My payment failed what should I do?,"Please check that your card details are correct and your billing address matches your bank records. If the issue persists, try a different payment method or contact your bank.","[{""role"": ""system"", ""content"": ""You are a helpful customer support agent for a SaaS company. Answer concisely and clearly in 1-2 sentences.""}, {""role"": ""user"", ""content"": ""My payment failed what should I do?""}]"
Can I cancel my subscription anytime?,"Yes, you can cancel your subscription at any time from your account settings under 'Billing'. Your access will continue until the end of the current billing period.","[{""role"": ""system"", ""content"": ""You are a helpful customer support agent for a SaaS company. Answer concisely and clearly in 1-2 sentences.""}, {""role"": ""user"", ""content"": ""Can I cancel my subscription anytime?""}]"
How do I export my data?,"You can export all your data as a CSV or JSON file from Settings > Data > Export. The download will be ready within a few minutes.","[{""role"": ""system"", ""content"": ""You are a helpful customer support agent for a SaaS company. Answer concisely and clearly in 1-2 sentences.""}, {""role"": ""user"", ""content"": ""How do I export my data?""}]"
I can't login to my account,"First try clearing your browser cache and cookies, then attempt to log in again. If you still can't access your account, use the 'Forgot Password' option to reset your credentials.","[{""role"": ""system"", ""content"": ""You are a helpful customer support agent for a SaaS company. Answer concisely and clearly in 1-2 sentences.""}, {""role"": ""user"", ""content"": ""I can't login to my account""}]"
Do you offer a free trial?,"Yes, we offer a 14-day free trial with full access to all features — no credit card required. You can sign up directly from our homepage.","[{""role"": ""system"", ""content"": ""You are a helpful customer support agent for a SaaS company. Answer concisely and clearly in 1-2 sentences.""}, {""role"": ""user"", ""content"": ""Do you offer a free trial?""}]"
How do I add a team member?,"Go to Settings > Team > Invite Member, enter their email address, and select their role. They'll receive an invitation email within a few minutes.","[{""role"": ""system"", ""content"": ""You are a helpful customer support agent for a SaaS company. Answer concisely and clearly in 1-2 sentences.""}, {""role"": ""user"", ""content"": ""How do I add a team member?""}]"
Is my data secure?,"Yes, all data is encrypted at rest and in transit using AES-256 and TLS 1.3. We are SOC 2 Type II certified and conduct regular security audits.","[{""role"": ""system"", ""content"": ""You are a helpful customer support agent for a SaaS company. Answer concisely and clearly in 1-2 sentences.""}, {""role"": ""user"", ""content"": ""Is my data secure?""}]"
What payment methods do you accept?,"We accept all major credit and debit cards (Visa, Mastercard, Amex), as well as PayPal and bank transfers for annual plans.","[{""role"": ""system"", ""content"": ""You are a helpful customer support agent for a SaaS company. Answer concisely and clearly in 1-2 sentences.""}, {""role"": ""user"", ""content"": ""What payment methods do you accept?""}]"
How do I upgrade my plan?,"You can upgrade your plan at any time from Settings > Billing > Change Plan. The price difference will be prorated for the remainder of your billing cycle.","[{""role"": ""system"", ""content"": ""You are a helpful customer support agent for a SaaS company. Answer concisely and clearly in 1-2 sentences.""}, {""role"": ""user"", ""content"": ""How do I upgrade my plan?""}]"
